Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Public Works,Resource Recovery & Recycling,Purchases,,"food waste, pails, composting",Kitchen Food Scrap Pail Sales,3.36,,plus pail,,,,,,,
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Additional Cans ,11.18,,per can/per cleaning,,,,,,,
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Annual Service (12 times per year),137.33,,,,,,,,,
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Quarterly Service (4 times per year),68.67,,,,,,,,,
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Semi-Annual Service (2 times per year),34.33,,,,,,,,,
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program (once a year service),23.51,,,,,,,,,
Public Works,Water,Services,,"Water, Service, Install, Meter","Water Service Install: 2"" Meter",5095.2,,,,,,,,,
Public Works,Water,Services,,"Water, Service, Install, Meter","Water Service Install: 6"" Meter",17771.68,,,,,,,,,
Public Works,Water,Services,,"Water, Service, Install, Meter","Water Service Install: 8"" Meter",27222.84,,,,,,,,,
Public Works,Water,Services,,"Water, Service, Install, Meter","Water Service Install: 10""+ Meter",,actual cost,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Services,,"Water, Fire, Service, Install","Fire Service Install: 2""",4768.64,,,,,,,,,
Public Works,Water,Services,,"Water, Fire, Service, Install","Fire Service Install: 3""- 6""",9592.08,,,,,,,,,
Public Works,Water,Services,,"Water, Fire, Service, Install","Fire Service Install: 8"" - 12""",14594.45,,,,,,,,,
Public Works,Water,Services,,"Water, Damaged Meter, Repair",Damaged Water Meter Repair,,actual cost,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Services,,"Water, Meter, Downsize",Water Meter Downsize,,actual cost,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Services,,"Water, Inspection",Water Inspection Fee Not Identified Elsewhere,307.55,,,,,,,,,
Public Works,Water,Services,,"Water, Temp, Temporary, Meter",Temporary Water Service (per meter),171.11,,,,,,,,,
Public Works,Water,Services,,"Water, Move, Meter",Moved Meter (per meter),86.11,,,,,,,,,
Public Works,Water,Services,,"Water, Meter, Test","Water Meter Test: 3/4"" - 2"" Meter",228.14,,,,,,,,,
Public Works,Water,Services,,"Water, Meter, Test","Water Meter Test: 3"" and Over",1371.1,,,,,,,,,
Public Works,Water,Fees,,"Water, Delinquent, Bill",Delinquent Water Bills-Tags,57.04,,,,,,,,,
Public Works,Water,Services,,"Wastewater, Storm Drain, Connect, Box",Storm Drain Connect of Existing Box,564.77,,,,,,,,,
Public Works,Water,Services,,"Wastewater, Storm Drain, Pipe",Storm Drain Pipe Installation/Connection,564.77,,per install,,,,,,,
Public Works,Water,Services,,"Wastewater, Storm Drain, Saddle",Storm Drain Saddle Installation ,1366.62,,,,,,,,,
Public Works,Water,Services,,"Wastewater, Sewage Spill",Emergency Sewage Spill Response,,actual cost,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Services,,"Wastewater, Sewer, Reinspection",Sewer Reinspection,272.88,,,,,,,,,
Public Works,Water,Services,,"Water, Turn-Off, Emergency",Same Day Emergency Turn-Off (regular hours),57.04,,,,,,,,,
Public Works,Water,Services,,"Water, Turn-Off, Emergency","Same Day Emer Turn-Off (after hours, holidays)",343.33,,,,,,,,,
Public Works,Water,Services,,"Industrial Waste, Discharge, Variance",Industr Waste Discharge Variance Request,60.39,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 1,178.94,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 2,654.23,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 3,984.15,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 4,1429.25,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 5,1805.01,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 6,4037.24,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit",Industr WW Permit: Class 99,105.12,,,,,,,,,
Public Works,Water,Permits,,"Industrial Waste, Permit, Application",Industr WW Permit Application Fee,49.21,,,,,,,,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-3/4"" Water Meter",743,,,,,,,Fee is not subject to the City's annual administrative revision and increase.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-1"" Water Meter",1241,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-1 1/2"" Water Meter",2474,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-2"" Water Meter",3960,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-3"" Water Meter",7429,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-4"" Water Meter",12384,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-6"" Water Meter",24762,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-8"" Water Meter",39620,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Meter","Water Capital Facility Fee-10"" Water Meter",56960,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-2"" Fireline Meters",3960,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-3"" Fireline Meters",7429,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-4"" Fireline Meters",12384,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-6"" Fireline Meters",24762,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-8"" Fireline Meters",39620,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Waster, Capital Facility Fee, Fire, Meter, Fireline","Water Capital Facility Fee-10"" Fireline Meters",56960,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Single Family",Wastewater Capital Facility Fees-Single Family Residence,2239,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, 1 Bedroom Unit",1168,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, 2 Bedroom Unit",1557,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, 3 Bedroom Unit",1947,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Hotel/Motel",1265,,per unit,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Commercial",779,,"per 1,000 sf",,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Laundromats",1655,,per machine,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Restaurant, Sit Down",292,,per seat,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Restaurant-Carry Out",2920,,"per 1,000 sf",,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Storage",195,,"per 1,000 sf",,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Fees,,"Wastewater, Capital Facility Fee, Multi-Family","Wastewater Capital Facility Fees-Multi-Family Residential, Industrial ",779,,"per 1,000 sf",,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Public Works,Water,Services,,"Water, Fire, Relocation, Killout",Fire Hydrant Relocation - new tap & killout,13190.92,,,,,,,,,
Public Works,Water,Services,,"Water, Fire, Installation",Fire Hydrant Installation,13604.71,,,,,,,,,
Public Works,Water,Services,,"Water, Fire, Flow, Test",Fire Hydrant Flow Test,952.83,,,,,,,,,
Public Works,Water,Services,,"Water, Hydrant, Temporary, Temp, Meter",Hydrant Meter Connection (Temporary),284.56,,,,,,,,,
Public Works,Water,Services,,"Water, Account, Delinquent, Reestablish",Reestablish Delinquent Account (per acct),57.04,,,,,,,,,
Public Works,Water,Permits,,"Sanitary, lateral, sewer, main, point repair, excavation, trench, saddle, connection",Sewer Saddle Connection ,1230.18,,,,,,,,"Additional information is available at<a href=""http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711"" target=""_blank"">http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711</a>",
Public Works,Water,Permits,,"Sanitary, lateral, sewer, main, demolition, excavation, trench, sewer, cap",Sewer Cap: At Time of Saddle Install ,599.43,,,,,,,,"Additional information is available at<a href=""http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711"" target=""_blank"">http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711</a>",
Public Works,Water,Permits,,"Sanitary, lateral, sewer, main, demolition, excavation, trench, sewer, cap",Sewer Cap: After Saddle Install,735.87,,,,,,,,"Additional information is available at<a href=""http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711"" target=""_blank"">http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711</a>",
Public Works,Water,Permits,,"Sanitary, lateral, sewer, main, point repair, excavation, trench, inspection",Sewer Lateral Inspection/Repair,645.29,,,,,,,,"Additional information is available at<a href=""http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711"" target=""_blank"">http://www.smgov.net/Departments/PublicWorks/ContentAdminSvcs.aspx?id=9711</a>",
Public Works,Airport,Applications ,,"airport, SMO, tie down, airplane, aircraft, single",Tie-Downs: Single-engine Space,113.41,,Monthly,,,,,Charges are not subject to annual cost of living adjustment but may increase annually subject to lease agreements and/or periodic appraisals.,"Additional information is available at <a href=""http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx"" target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Applications ,,"airport, SMO, tie down, airplane, aircraft, twin","Tie-Downs: Multi-engine Space below 12,500 lbs.",170.12,,Monthly,,,,,Charges are not subject to annual cost of living adjustment but may increase annually subject to lease agreements and/or periodic appraisals.,"Additional information is available at <a target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Cemetery,Property,,"Niche, cremation","Sanctuary of Devotion: Large 20 inch (Outside View), Niches ",9323.49,,,,,,,,,
Public Works,Airport,Permits,,"airport, SMO, tie down, airplane, aircraft, transient","Transient Tie-Downs: Single-engine Space below 12,500 lbs.",16.68,,Nightly,,,,,,"Additional information is available at <a target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Permits,,"airport, SMO, tie down, airplane, aircraft, transient","Transient Tie-Downs: Muti-engine Space below 12,500 lbs.",33.36,,Nightly,,,,,,"Additional information is available at <a target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Permits,,"parking, airport, overnight parking , permit, SMO, car, vehicle ",Overnight Vehicular Parking (nightly),11.12,,Nightly,,,,,,"Additional information is available at <a href=""http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx"" target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Permits,,"parking, airport, monthly parking, permit, SMO, car, vehicle ",Overnight Vehicular Parking (monthly),111.2,,Monthly,,,,,,"Additional information is available at <a target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Applications ,,"airport, SMO, aircraft covers, airplane, hangar","Hangars, Land Value, Light Aircraft Covers and 22T Hangar",3.22,,"Annually, per square foot",,,,,Charges are not subject to annual cost of living adjustment but may increase annually subject to lease agreements and/or periodic appraisals.,"Additional information is available at <a href=""http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx"" target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Applications ,,"airport, SMO, aircraft covers, airplane, hangar","Transient Tie-Downs: Multi-engine Space: Aircraft over 12,500 lbs.",33.36,,"Plus $1.00 per one thousand pounds over $12,500",,,,,,"Additional information is available at <a target=""_blank"">http://www.smgov.net/Departments/Airport/Property/Aviation_Property.aspx</a>",
Public Works,Airport,Services,,"airport, SMO, aircraft, airplane, fuel, fuel flowage, jet fuel, jet A, FBO ",Fuel Flowage Fee-Jet A Fuel (dispensed at SM Airport),0.11,,per gallon,,,,,"Fees are not subject to annual administrative revisions and increases, adjusted periodically based on appraisals.","Additional information is available at <a href=""http://www.smgov.net/Departments/Airport/Pilots/Aviation_Services.aspx"" target=""_blank"">http://www.smgov.net/Departments/Airport/Pilots/Aviation_Services.aspx</a>",
Public Works,Airport,Services,,"airport, SMO, aircraft, airplane, fuel, fuel flowage, Avgas, FBO  AVGas",Fuel Flowage Fee-AVGas Fuel (dispensed at SM Airport),0.11,,per gallon,,,,,"Fees are not subject to annual administrative revisions and increases, adjusted periodically based on appraisals.","Additional information is available at <a href=""http://www.smgov.net/Departments/Airport/Pilots/Aviation_Services.aspx"" target=""_blank"">http://www.smgov.net/Departments/Airport/Pilots/Aviation_Services.aspx</a>",
Public Works,Airport,Permits,,"airport, SMO, event, permit",Airport Event Permit,526.74,,,,,,,,"Additional information is available at >a href="" http://www.smgov.net/Departments/Airport/Property/Film_and_Event_Permits.aspx"">http://www.smgov.net/Departments/Airport/Property/Film_and_Event_Permits.aspx",
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Preliminary Review, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Standard and Complex Plan Check Tree Removal, Protection and Replacement Per Lineal Feet of Street Frontage",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Miscellaneous Review - each hour/fraction thereof: Plan Checks - Not Otherwise Classified, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Miscellaneous Review - each hour/fraction thereof: Plan Revisions, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Miscellaneous Review - each hour/fraction thereof: Permit Renewals, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Miscellaneous Review - each hour/fraction thereof: Excess Plan Check - more than 2 resubmittals, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Plan Reviews,,"Tree, Construction, Plan Check, Plan Review","Miscellaneous Review - each hour/fraction thereof: Minimum Plan Check Fee - all categories, Landscape",138.11,,,,,,,,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection","Construction Inspection and Monitoring Work Authorized Near City Trees: $0 - $100,000",138.11,,,,,,,Based on permit valuation/cost of construction.,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection","Construction Inspection and Monitoring Work Authorized Near City Trees: $100,001 - $300,000",276.23,,,,,,,Based on permit valuation/cost of construction.,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection","Construction Inspection and Monitoring Work Authorized Near City Trees: $300,001 - $1,000,000",552.45,,,,,,,Based on permit valuation/cost of construction.,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection","Construction Inspection and Monitoring Work Authorized Near City Trees: $1,000,001 - $20,000,000",828.68,,,,,,,Based on permit valuation/cost of construction.,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection","Construction Inspection and Monitoring Work Authorized Near City Trees: $20,000,001 - up",1104.91,,,,,,,Based on permit valuation/cost of construction,,
Public Works,Public Landscape,Inspections,,"Tree, Construction, Plan Check, Plan Review, Inspection",Verify Existing Tree Conditions,138.11,,,,,,,,,
Public Works,Public Landscape,Services,,"Tree, Construction, Plan Check, Plan Review, Inspection",Administrative Costs - each hour or fraction: Urban Forester,138.11,,,,,,,,,
Public Works,Administration,Permits,,"Airport, Film Permit, Application Fee, Photography","Film Permit Application Fee: Airport-public airside/landside still photography, 1-3 cast/crew",601.16,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Application Fee, Photography","Film Permit Application Fee: Airport-public airside/landside still photography, 4-20 cast/crew",601.16,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Airport-public airside, motion, 1-20 cast/crew",601.16,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Airport-public landside, motion, 1-20 cast/crew",601.16,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Airport, Leasehold, Film Permit, Application Fee, Photography, Motion, Video","Film Permit Application Fee: Airport-leasehold property, still photography/motion, any amount cast/crew",526.27,,,,,,,,,
Public Works,Administration,Permits,,"Airport, Leasehold, Film Permit, Application Fee, Photography, Motion, Video","Film Permit Application Fee: Airport-complex/large productions, 21+ cast/crew",,actual cost of staff time coordination ,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Beaches-Film/video, minor (1-20 cast/crew)",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Beaches - Film/video, major (21+ cast/crew)",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Application Fee, Photography",Film Permit Application Fee: Beaches - Still Photography,143.15,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Application Fee, Motion, Video","Film Permit Application Fee: City Hall - Film/video, exterior",343.56,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Application Fee, Photography","Film Permit Application Fee: City Hall - Still photography, exterior",200.41,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Application Fee, Motion, Video","Film Permit Application Fee: City Hall - Film/video, interior",343.56,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Application Fee, Photography","Film Permit Application Fee: City Hall - Still photography, interior",200.41,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Photography","Film Permit Application Fee: Downtown Santa Monica - Still photography, interior",117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Photography","Film Permit Application Fee: Downtown Santa Monica - Still photography, exterior, low impact",117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Photography","Film Permit Application Fee: Downtown Santa Monica - Still photography, exterior, high impact",117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica - Film/video, interior only",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica - Film/video, interior with exterior requirements",293.86,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica - Film/video, man on street/walk and talk (crew of 9 or less)",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica - Film/video, man on street/walk and talk (crew of 10 or more)",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica -  Film/video, half day shoot including interior/exterior",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Downtown Santa Monica, Third Street Promenade, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Downtown Santa Monica - Film/video, all day, interior/exterior, multiple locations",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Park, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Parks - Film/video, minor (1 - 20 cast/crew)",343.56,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Park, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Parks - Film/video, major (21+ cast/crew)",343.56,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Park, Film Permit, Application Fee, Photography",Film Permit Application Fee: Parks - Still photography,200.41,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Pier, Carousel, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Pier/Carousel - Film/video, all day",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Pier, Carousel, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Pier/Carousel - Film/video, half day (6 hrs.)",293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Pier, Carousel, Film Permit, Application Fee, Film, Motion, Video",Film Permit Application Fee: Pier/Carousel - Street interviews,293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Pier, Carousel, Film Permit, Application Fee, Photography","Film Permit Application Fee: Pier/Carousel - Still photography, low impact, interior only",117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Pier, Carousel, Film Permit, Application Fee, Photography","Film Permit Application Fee: Pier/Carousel - Still photography, exterior",117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Student, Non-Profit, Film Permit, Application Fee, Film, Motion, Video","Film Permit Application Fee: Student/Non-Profit, Film video",117.5,,,,,,,,,
Public Works,Administration,Permits,,"Student, Non-Profit, Film Permit, Application Fee, Photography","Film Permit Application Fee: Student/Non-Profit, Still photography",57.26,,,,,,,,,
Public Works,Administration,Permits,,"Street, Sidewalk, Parking, Film Permit, Application Fee, Film, Motion, Video",Film Permit Application Fee: All Other Locations - Film/video,293.74,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Street, Sidewalk, Parking, Film Permit, Application Fee, Photography",Film Permit Application Fee: All Other Locations - Still photography,117.5,,,,,,,Applicant must also pay a location fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Location Fee, Photography","Film Permit Location Fee: Airport-public airside/landside still photography, 1-3 cast/crew",111.83,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Location Fee, Photography","Film Permit Location Fee: Airport-public airside/landside still photography, 4-20 cast/crew",458.52,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: Airport-public airside, motion, 1-20 cast/crew",1174.27,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: Airport-public landside, motion, 1-20 cast/crew",858.89,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Airport, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: Airport-complex/large productions, 21+ cast/crew",1717.78,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: Beaches - Film/video, minor (1 - 20 cast/crew)",1174.96,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: Beaches - Film/video, major (21+ cast/crew)",1431.49,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"Beach, Film Permit, Location Fee, Photography",Film Permit Location Fee: Beaches - Still Photography,117.5,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: City Hall - Film/video, exterior",1717.78,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Location Fee, Photography","Film Permit Location Fee: City Hall - Still photography, exterior",572.59,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Location Fee, Film, Motion, Video","Film Permit Location Fee: City Hall - Film/video, interior",2862.97,,,,,,,Applicant must also pay an application fee.,,
Public Works,Administration,Permits,,"City Hall, Film Permit, Location Fee, Photography","Film Permit Location Fee: City Hall - Still photography, interior",1145.19,,,,,,,Applicant must also pay an application fee.,,
