Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Downtown Parking Structures 1 through 9, and the Ken Edwards Center, Sundays 6:00 am - 11:00 am",,Free,,,,,,Combined with another item,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Youth Annual Pass, Non-Residents",80,,,,,,Non-Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, One and Two Family, Single Family, Dwelling, SFD","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: One and Two Family Dwellings - main & accessory buildings (3,500 sf)",533.14,,,1.1847,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Downtown Parking Structures 1 through 9, and the Ken Edwards Center Parking Structure, Permits Valid Weekdays/Daytime (Mon - Fri, 6:00 am - 7:00 pm)",120,,Monthly,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental, Basketball Courts, Clover Park, Marine Park, Reed Park","Sports Facilities Rental - Outdoor Basketball Court, Non-Resident, Youth Groups",14,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, Parking Structure 10 and Downtown Lots, 27, 28 and 29 - Each 30 Minutes",1,,Per 1/2 hour ,,,,,"Maximum: $14.00 per day
 Open for public parking 24/7.",,
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Fault, Trench","Engineering Report Review: Geotechnical Reports, Fault Trench",4266.85,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Parking Structure 10 and Downtown Lots, 27, 28 and 29 - Permits Valid Weekdays/Daytime (Mon - Fri, 6:00 am - 7:00 pm)",120,,Monthly,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Parking Structure 10 and Downtown Lots, 27, 28 and 29 - Permits Valid Weeknights & Weekends (Mon - Thur 4:00 pm - 6:00 am; Fri 4:00 pm - 6:00 am Mon)",75,,Monthly,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, Parking Structure 10 and Downtown Lots, 27, 28 and 29 - Vehicles Displaying Current and Valid Disabled Placards",,Free,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Non-Profit Youth Aquatics Program, Non - Santa Monica Based, Short Course ",10,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, Main Library Subterranean Structure (Garage) - First 30 minutes",,Free,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, Main Library Subterranean Structure (Garage) - After 30 Minutes, Next 2 hours",1,,Per hour,,,,,,,"First 30 minutes free, $1 per hour for next 2 hours, $1 per each additional 30 minutes.  Daily Maximum: $10 Weekdays, $5 Weekends. Lost ticket is charged the daily maximum.  Open for public parking 8:00AM - 11:00PM."
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, Main Library Subterranean Structure (Garage) - Each additional 30 minutes (After Two Hours Paid)",1,,Per 1/2 hour,,,,,,,"First 30 minutes free, $1 per hour for next 2 hours, $1 per each additional 30 minutes.  Daily Maximum: $10 Weekdays, $5 Weekends. Lost ticket is charged the daily maximum.  Open for public parking 8:00AM - 11:00PM."
Planning and Community Development,City Planning/Development Review,CEQA,,Required CEQA review for discretionary planning applications,Environmental - Class 32 Categorical Exemption,15647.99,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Downtown Parking, Parking, Library","Parking Rates and Permit Fees,  Main Library Subterranean Structure (Garage),  Permits Valid 8:00 am - 11:00 pm",82.5,,Monthly,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Downtown Parking, Parking, Library, Disabled","Parking Rates and Permit Fees,  Main Library Subterranean Structure (Garage),  Vehicles Displaying Current and Valid Disabled Placards",,Free,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Company, Taxi Franchise , Vehicle, Permit, New",New vehicle permit fee,119.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Over the Counter, Counter, OTC, Excessive","Electrical Plan Review, Over The Counter PC: Excessive Plan Check-each review after two",194.55,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, 1450 Ocean, Senior Recreation Center","Facility Filming Rental - Non-Profit/Student Motion/Still, Senior Rec. Cntr, Auditorium",77.55,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Women's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Women's
 - Non-Residents",520,,,,,,Non-Residents - Women,Non-Resident Teams (Registration Priority 3)  Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Miscellaneous Fees,,"Membership card, activity passport, card replacement, Activity Passport Replacement Card Santa Monica Residents)","Activity Passport Replacement Card
 - Santa Monica Residents",1,,,,,,Residents,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, soccer field, football field, sports fields, field sports, Marine Park, Clover Park, Memorial Park, Lincoln Middle School, Airport Park, Santa Monica High School, Field rental fees","Sports Facilities Rental - Field Rental, Residents, Private Schools, High Intensity (soccer, football, rugby, field hockey, lacrosse)",19.5,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting room, Facility, Reservation, Swimming, Filming, Still photography","Santa Monica Swim Center - Rental Charges, Filming Fees, Still, Splash or Fitness Pool",250,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Cultural Affairs,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rental",40,,for two hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a target=""_blank"" href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Over the Counter, Counter, OTC, Excessive","Plumbing Plan Review, Over The Counter PC: Excessive Plan Check - each review after two",194.55,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Memorial Park","Facility Filming Rental - Non-Profit/Student Motion/Still, Memorial Park, Craft Room",51.7,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, baby swim, kid swim ",Community Aquatics - Recreational and Fitness Swim - Daily Use - Residents - Youth ,1.5,,per day,,,,Residents-Youth,"Youth (17 years and under)
  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Extensions,,Staff extension of a permit entitlement as authorized by Code,Permit Extension - Administrative,598,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Basketball Leagues, Recreational Leagues, Basketball","Adult Sports League
 - Basketball
 - Residents",300,,,,,,Residents,Resident Teams (Registration Priority 1)  At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Joslyn Park ","Facility Filming Rental - Motion, Joslyn Park,  Craft Room",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Review of a project for compliance with City standards,Certificate of Compliance,1794,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Parking, Pier","Parking Rates, Central Beach Zone Lots 1N, 2N, 3N, 1S, 2S & 3S, Designated Short-Term Lot",1,,Hourly,,,,,Short-term parking lot: Maximum 2 hours. Use pay machine if no attendant is on duty and display receipt on dashboard. ,,Parking lot hours: Sunrise to Sunset only. Parking after hours is prohibited.
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Parking, Pier, Bus Parking","Parking Rates, Central Beach Zone Lots 1N, 2N, 3N, 1S, 2S & 3S, Bus rate",,6x the daily rate,,,,,,Use pay machine if no attendant is on duty and display receipt on dashboard. ,,Lot 1N is open for public parking from 6AM-2AM. All other beach lots are open from Sunrise to Sunset only. Parking after hours is prohibited.
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Parking, Pier, RV Parking","Parking Rates and Permit Fees,
Daily Fees, Central Beach Zone 
Lots 1N, 2N, 3N, 1S, 2S & 3S, Recreational Vehicle rate",,4x the daily rate,,,,,,Use pay machine if no attendant is on duty and display receipt on dashboard. ,,Lot 1N is open for public parking from 6AM-2AM. All other beach lots are open from Sunrise to Sunset only. Parking after hours is prohibited.
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Pier, Parking, Hourly Parking","Parking Rates and Permit Fees, Santa Monica Pier Deck, Summer: Apr 1 - Oct 31",3,,Hourly,,,,,This is an automated parking facility: take your parking ticket with you and use pay machine prior to returning to your vehicle.,,"Summer rate from Apr 1 - Oct 31: $3 per hour, $15 daily maximum. Access may be restricted during Special Events. Vehicle weight maximum is 6000 lbs."
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Pier, Parking, Hourly Parking","Parking Rates and Permit Fees, Santa Monica Pier Deck, Winter: Nov 1 - Mar 31, Weekdays ",2,,Hourly,,,,,This is an automated parking facility: take your parking ticket with you and use pay machine prior to returning to your vehicle.,,"Winter rate from Nov 1 - Mar 31, Weekdays: $2 per hour, $10 daily maximum. Access may be restricted during Special Events.  Vehicle weight maximum is 6000 lbs."
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Pier, Parking, Hourly Parking","Parking Rates and Permit Fees, Santa Monica Pier Deck, Winter: Nov 1 - Mar 31, Weekends, Hourly Rate",3,,Hourly,,,,,This is an automated parking facility: take your parking ticket with you and use pay machine prior to returning to your vehicle.,,"Winter rate from Nov 1 - Mar 31, $3 per hour, $12 daily maximum. Access may be restricted during Special Events.  Vehicle weight maximum is 6000 lbs."
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Beach soccer, beach volleyball, beach sports, beach, pier, outdoor sports","Facility Filming Rental - Motion, SM State Beach, Beach Soccer & Volleyball Courts",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Excessive","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Excessive Plan Check-each review over three",222.93,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Elementary,"After-school, Childcare, Day care, Arts, Games, Edison, Franklin, Grant, McKinley, Roosevelt, Will Rogers, John Muir, SMASH, Homework Assistance, Supervised, school, CREST","CREST
 - Child Care Program: Full - Time Child Care (School Year Only)

",350,,Monthly,,,,,"Hours of Service: 7:00 a.m. until school starts and from school dismissal until 6:00 p.m. 

Days of Service: School year only - no breaks

Monthly fees are paid for 10 months from September through June.

The CREST program is a joint program between the City and the Santa Monica - Malibu Unified School District.  This fee represents the fee for the Citys portion of the program. ","Additional information is available at:
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation"">https://activenet004.active.com/santamonicarecreation</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Pier, Parking, Hourly Parking, Disabled","Parking Rates, Santa Monica Pier Deck, Vehicles Displaying Current and Valid Disabled Placards",,Free,,,,,,This is an automated parking facility: take your parking ticket with you and use pay machine prior to returning to your vehicle.,,Access may be restricted during Special Events. Parking for vehicles displaying current and valid Disabled Placards shall be free. Vehicle weight maximum is 6000 lbs.
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Still, Memorial Park, CAB 1/3",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Driver, Permit, New & Renewal",Pedicab Drivers Permit Fees: New and renewal pedicab drivers permit application fee ,101.67,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee",Community Aquatics - Recreational and Fitness Swim- Daily Use - Non-Residents - Adult ,7,,per day,,,,Non-Residents-Adult,Adults (18 years  59 years),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Re-occupancy of previously vacated rental properties under the Ellis Act,Occupancy Permit,2192,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Beach Parking, Parking, Hourly Parking","Parking Rates, Southern Beach Zone Lots 4S & 5S, Designated Short-Term Lot ",1,,Hourly,,,,,Short-term parking lot: Maximum 2 hours. Use pay machine if no attendant is on duty and display receipt on dashboard. ,,Beach Parking lot hours: Sunrise to Sunset only. Parking after hours is prohibited unless vehicle displays current and valid Overnight Resident permit.
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Other Parking Fees, Access Cards, Non-refundable Fee",10,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Residents, Community Mtg. Rm, Virginia Avenue Park, Small (18 - 55)",26,,,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rentals, fields with lights, lighted fields, field rental with lights, Marine Park, Clover Park, Memorial Park, Airport Park, John Adams Middle School, Santa Monica High School","Sports Facilities Rental - Field Rental, Residents, Camps, Lights",26,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Standard","Architectural and Structural Plan Review, Over The Counter PC: Standard-up to two reviews",477.3,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates, All Beach Lots, Vehicles Displaying Current and Valid Disabled Placards",,Free,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Parking, Annual","Parking Rates and Permit Fees, Beach Lot Permits, California Resident Day Beach Permits, Annual Permit ",155,,Annual,,,,,Annual beach permits are valid from January 1 to December 31.,,"Day Beach permits are issued only to California Residents who can provide current California Driver&rsquo;s License and California vehicle registration reflecting applicant's name and residential address. Day Beach permits are valid at City of Santa Monica beach lots 1N - 9N, 2S - 5S, excluding the two-hour short-term areas. Day Beach permits are not valid on the Pier deck or in the Annenberg Beach House lot. Permits are valid sunrise to sunset only. "
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Parking, Semi-Annual","Parking Rates and Permit Fees, Beach Lot Permits,  California Resident Day Beach Permits , Semi-Annual Permit",105,,Semi-Annual,,,,,Semi-Annual beach permits are valid from January 1 to June 30 or July 1 to December 31.,,"Day Beach permits are issued only to California Residents who can provide current California Driver&rsquo;s License and California vehicle registration reflecting applicant's name and residential address. Day Beach permits are valid at City of Santa Monica beach lots 1N - 9N, 2S - 5S, excluding the two-hour short-term areas. Day Beach permits are not valid on the Pier deck or in the Annenberg Beach House lot. Permits are valid sunrise to sunset only."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Monthly Parking","Parking Rates and Permit Fees, Beach Lot Permits,  California Resident Day Beach Permits, Monthly",27,,Monthly,,,,,Monthly beach permits are valid from the 1st of the month to the last day of the month,,"Day Beach permits are issued only to California Residents who can provide current California Driver&rsquo;s License and California vehicle registration reflecting applicant's name and residential address. Day Beach permits are valid at City of Santa Monica beach lots 1N - 9N, 2S - 5S, excluding the two-hour short-term areas. Day Beach permits are not valid on the Pier deck or in the Annenberg Beach House lot. Permits are valid sunrise to sunset only."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Mid City, Parking","Parking Rates and Permit Fees, Mid City Lots,  7,  8,  and 12,  Permits Valid Anytime",55,,Monthly,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Mid City, Parking, Disabled","Parking Rates, Mid City Lots,  7,  8,  and 12,  Vehicles Displaying Current and Valid Disabled Placards",,Free,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Parking, Annual","Parking Rates and Permit Fees, Day Beach Lot Permits, Pier and Beach Employee Permits for businesses along the beach or Santa Monica Pier, Annual Permit",155,,Annual ,,,,,Annual beach permits are valid from January 1 to December 31.,,"Day Lot permits are issued only to employees of businesses located along the Santa Monica Pier or Beach. Applicants must provide:
&bull;Proof of employment from a business that is a tenant of the Santa Monica Pier or beach  (e.g., current pay stubs, employee ID badge, or a recently dated letter from your employer on company letterhead) 
&bull;Current California vehicle registration
&bull;Proof of California residency (California driver&rsquo;s license or California ID card)
Day Lot permits are valid only while user is on work duty."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Parking, Semi-Annual","Parking Rates and Permit Fees, Day Beach Lot Permits, Pier and Beach Employee Permits for businesses along the beach or Santa Monica Pier, Semi-Annual Permit",105,,Semi-Annual,,,,,Semi-Annual beach permits are valid from January 1 to June 30 or July 1 to December 31.,,"Day Lot permits are issued only to employees of businesses located along the Santa Monica Pier or Beach. Applicants must provide:
&bull;Proof of employment from a business that is a tenant of the Santa Monica Pier or beach  (e.g., current pay stubs, employee ID badge, or a recently dated letter from your employer on company letterhead) 
&bull;Current California vehicle registration
&bull;Proof of California residency (California driver&rsquo;s license or California ID card)
Day Lot permits are valid only while user is on work duty."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  First permit",20,,Annual,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Parking Permit, Beach Parking, Day Beach Permit, Monthly Parking","Parking Rates and Permit Fees, Day Beach Lot Permits, Pier and Beach Employee Permits for businesses along the beach or Santa Monica Pier, Monthly Permit",27,,Monthly,,,,,Monthly beach permits are valid from the 1st of the month to the last day of the month.,,"Day Lot permits are issued only to employees of businesses located along the Santa Monica Pier or Beach. Applicants must provide:
&bull;Proof of employment from a business that is a tenant of the Santa Monica Pier or beach  (e.g., current pay stubs, employee ID badge, or a recently dated letter from your employer on company letterhead) 
&bull;Current California vehicle registration
&bull;Proof of California residency (California driver&rsquo;s license or California ID card)
Day Lot permits are valid only while user is on work duty."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  South Beach Zone Permits,  for Employees of Main Street businesses,  Valid only while on work duty",155,,Annual,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  South Beach Zone Permits,  for Employees of Main Street businesses,  Valid only while on work duty",105,,Semi-Annual,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  South Beach Zone Permits,  for Employees of Main Street businesses,  Valid only while on work duty",20,,Monthly,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  Overnight Resident & Guest Beach Permits,  for residents living in the North,  South,  or Central Beach Zones",150,,Annual,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  Overnight Resident & Guest Beach Permits,  for residents living in the North,  South,  or Central Beach Zones",75,,Semi-Annual,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  Overnight Resident & Guest Beach Permits,  for residents living in the North,  South,  or Central Beach Zones",15,,Monthly,,,,,Annual beach permits are valid from January 1 to December 31,,
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Beach Lot Permits,  California Resident Senior Beach Permits,  Annual",2.2,,Annual,,,,,Vehicles displaying current and valid Disabled Placards or Disabled license plates shall park for free in beach lots from sunrise to sunset. Disabled Placard holders do not need to purchase beach parking permits.,,
